2022.04.18 02:49:16 Tried adding: =
2022.04.18 02:49:16 Calculating: 1-(-(-(-(-(-1)))))
2022.04.18 02:49:16 Result: 2
2022.04.18 02:49:24 Allocated Ram: 10MiB
2022.04.18 02:49:24 Total memory obtained from OS: 25MiB
2022.04.18 02:49:24 Total garbage collected memory: 83MiB
2022.04.18 02:49:24 Closing program...
2022.04.18 03:19:39 Started program
2022.04.18 03:19:39 Loaded config
2022.04.18 03:19:42 Tried adding: 1
2022.04.18 03:19:43 Tried adding: 1
2022.04.18 03:19:44 Tried adding: 1
2022.04.18 03:19:45 Tried adding: 1
2022.04.18 03:19:46 Tried adding: 1
2022.04.18 03:19:47 Tried adding: 1
2022.04.18 03:19:47 Tried adding: 1
2022.04.18 03:19:48 Tried adding: 1
2022.04.18 03:19:49 Tried adding: 1
2022.04.18 03:19:49 Tried adding: 1
2022.04.18 03:19:50 Tried adding: 1
2022.04.18 03:19:51 Tried adding: 1
2022.04.18 03:19:51 Tried adding: 1
2022.04.18 03:19:52 Tried adding: 1
2022.04.18 03:19:52 Tried adding: 1
2022.04.18 03:19:53 Tried adding: 1
2022.04.18 03:19:53 Tried adding: 1
2022.04.18 03:19:53 Tried adding: 1
2022.04.18 03:19:54 Tried adding: 1
2022.04.18 03:19:54 Tried adding: 1
2022.04.18 03:19:55 Tried adding: 1
2022.04.18 03:19:55 Tried adding: 1
2022.04.18 03:19:56 Tried adding: 1
2022.04.18 03:19:56 Tried adding: 1
2022.04.18 03:19:57 Tried adding: 1
2022.04.18 03:19:57 Tried adding: 1
2022.04.18 03:19:58 Tried adding: 1
2022.04.18 03:19:58 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
2022.04.18 03:19:59 Tried adding: 1
